Generation: 321; Difference: 134.23384941885362; Time: 19200786371129;
Generation: 322; Difference: 134.2289196349413; Time: 19261707554071;
Generation: 323; Difference: 134.2257641843548; Time: 19320218925670;
Generation: 324; Difference: 134.2257641843548; Time: 19375857173210;
Generation: 325; Difference: 134.2257641843548; Time: 19442635934886;
Generation: 326; Difference: 134.2257641843548; Time: 19507148067009;
Generation: 327; Difference: 134.2194282061636; Time: 19583881312119;
Generation: 328; Difference: 134.21220886136362; Time: 19648076748979;
Generation: 329; Difference: 134.21220886136362; Time: 19699204735087;
Generation: 330; Difference: 134.21220886136362; Time: 19751336439586;
Generation: 331; Difference: 134.21220886136362; Time: 19805548008419;
Generation: 332; Difference: 134.21069605935685; Time: 19876378983617;
Generation: 333; Difference: 134.21069605935685; Time: 19934051284466;
Generation: 334; Difference: 134.19896537791266; Time: 19985351166226;
Generation: 335; Difference: 134.18994851936702; Time: 20036325588802;
Generation: 336; Difference: 134.18994851936702; Time: 20104494991530;
Generation: 337; Difference: 134.18994851936702; Time: 20176131629347;
Generation: 338; Difference: 134.18994851936702; Time: 20238138864184;
Generation: 339; Difference: 134.18994851936702; Time: 20301655358249;
Generation: 340; Difference: 134.18994851936702; Time: 20386779246394;
Generation: 341; Difference: 134.187776221465; Time: 20469926454202;
Generation: 342; Difference: 134.187776221465; Time: 20534594740363;
Generation: 343; Difference: 134.1875004122076; Time: 20597383108855;
Generation: 344; Difference: 134.18437223160598; Time: 20658282568682;
Generation: 345; Difference: 134.1743765722511; Time: 20720842566076;
Generation: 346; Difference: 134.1743765722511; Time: 20780273309612;
Generation: 347; Difference: 134.1743734732838; Time: 20844838574744;
Generation: 348; Difference: 134.1743734732838; Time: 20941889814871;
Generation: 349; Difference: 134.17340458759594; Time: 21024503529522;
Generation: 350; Difference: 134.17340458759594; Time: 21099328688491;
Generation: 351; Difference: 134.17340458759594; Time: 21164889078188;
Generation: 352; Difference: 134.16453627954363; Time: 21235550077482;
Generation: 353; Difference: 134.16453627954363; Time: 21304028979717;
Generation: 354; Difference: 134.163474061942; Time: 21371611152648;
Generation: 355; Difference: 134.15802596485287; Time: 21436137175198;
Generation: 356; Difference: 134.14930918626217; Time: 21492843798211;
Generation: 357; Difference: 134.14930918626217; Time: 21549294596852;
Generation: 358; Difference: 134.14930918626217; Time: 21610638610755;
Generation: 359; Difference: 134.14913151673528; Time: 21670897550389;
Generation: 360; Difference: 134.14913151673528; Time: 21731681885858;
Generation: 361; Difference: 134.14397383671516; Time: 21822930369935;
Generation: 362; Difference: 134.14397383671516; Time: 21978011439991;
Generation: 363; Difference: 134.13839319202094; Time: 22125080157372;
Generation: 364; Difference: 134.13500747248935; Time: 22270480299917;
Generation: 365; Difference: 134.13490056935493; Time: 22359341851759;
Generation: 366; Difference: 134.12980146959492; Time: 22444598134146;
Generation: 367; Difference: 134.12980146959492; Time: 22542818490738;
Generation: 368; Difference: 134.12980146959492; Time: 22626490476826;
Generation: 369; Difference: 134.12980146959492; Time: 22697714988599;
Generation: 370; Difference: 134.12980146959492; Time: 22753259334950;
Generation: 371; Difference: 134.11694234942388; Time: 22806566490023;
Generation: 372; Difference: 134.11694234942388; Time: 22860790400550;
Generation: 373; Difference: 134.11694234942388; Time: 22915452241597;
Generation: 374; Difference: 134.11694234942388; Time: 22971964688952;
Generation: 375; Difference: 134.11622164281755; Time: 23030345228104;
Generation: 376; Difference: 134.11622164281755; Time: 23088515427611;
Generation: 377; Difference: 134.11228318024004; Time: 23151679102228;
Generation: 378; Difference: 134.11228318024004; Time: 23216427340022;
Generation: 379; Difference: 134.11228318024004; Time: 23283194708964;
Generation: 380; Difference: 134.11228318024004; Time: 23354829093884;
Generation: 381; Difference: 134.11228318024004; Time: 23431109661600;
Generation: 382; Difference: 134.11106771756192; Time: 23516482132980;
Generation: 383; Difference: 134.11106771756192; Time: 23610016008145;
Generation: 384; Difference: 134.0995894622777; Time: 23719343399464;
Generation: 385; Difference: 134.0952502104299; Time: 23854979233492;
Generation: 386; Difference: 134.0952502104299; Time: 24011666243705;
